@relation pizzarequests

@attribute PostEdited {0,1}
@attribute NumberOfUpVotes numeric
@attribute NumberofDownVotes numeric
@attribute CommentsOnRequest numeric
@attribute CommentsOnRetrieval numeric
@attribute WordScore numeric
@attribute TitleScore numeric
@attribute class {0,1}

@data
"0","11.0","7.0","0.0","10.0","6432","959","1"
"0","14.0","3.0","445.0","514.0","25279","1334","1"
"1","2.0","0.0","90.0","494.0","11298","827","1"
"0","6.0","3.0","33.0","39.0","30948","908","1"
"0","11.0","9.0","437.0","1000.0","15099","560","1"
"0","9.0","3.0","0.0","3.0","27211","982","1"
"0","4.0","2.0","798.0","840.0","19410","809","1"
"0","6.0","2.0","97.0","120.0","4057","2158","1"
"0","8.0","5.0","5.0","10.0","10079","500","1"
"0","8.0","6.0","37.0","57.0","14414","580","1"
"0","7.0","4.0","0.0","1.0","32619","349","1"
"0","10.0","3.0","176.0","221.0","15554","1012","1"
"1","2.0","0.0","174.0","226.0","18070","665","1"
"0","4.0","1.0","59.0","107.0","8391","951","1"
"0","1.0","0.0","660.0","726.0","6429","770","1"
"0","2.0","3.0","102.0","324.0","10701","2097","1"
"0","8.0","2.0","5.0","80.0","15220","479","1"
"0","7.0","3.0","271.0","448.0","5532","1713","1"
"0","1.0","1.0","0.0","999.0","26623","222","1"
"0","2.0","1.0","0.0","1000.0","26164","696","1"
"0","6.0","4.0","69.0","510.0","17413","481","1"
"0","3.0","0.0","146.0","262.0","7036","547","1"
"1","13.0","7.0","129.0","992.0","18278","1259","1"
"1","7.0","3.0","3.0","11.0","21521","814","1"
"0","35.0","7.0","976.0","1000.0","12867","102","1"
"0","9.0","6.0","25.0","50.0","4535","1552","1"
"0","5.0","3.0","165.0","209.0","18066","11","1"
"0","4.0","1.0","561.0","724.0","10571","297","1"
"0","4.0","2.0","155.0","326.0","30914","213","1"
"0","7.0","8.0","0.0","27.0","7193","1326","1"
"0","9.0","8.0","5.0","6.0","39293","820","1"
"0","3.0","3.0","277.0","303.0","11622","122","1"
"1","1.0","1.0","9.0","186.0","12047","234","1"
"0","7.0","1.0","6.0","105.0","7962","316","1"
"0","1.0","0.0","165.0","427.0","24253","1801","1"
"0","4.0","0.0","66.0","180.0","11870","295","1"
"0","10.0","5.0","63.0","171.0","27992","1081","1"
"0","3.0","1.0","33.0","383.0","7988","1225","1"
"0","11.0","5.0","5.0","39.0","15947","1558","1"
"0","17.0","2.0","92.0","238.0","32910","1363","1"
"0","4.0","3.0","7.0","10.0","22142","177","1"
"0","3.0","1.0","58.0","84.0","8939","267","1"
"0","82.0","10.0","141.0","622.0","12400","1521","1"
"0","7.0","1.0","218.0","237.0","15665","212","1"
"0","4.0","2.0","17.0","90.0","23773","1344","1"
"1","10.0","2.0","1.0","28.0","4838","1872","1"
"0","3.0","1.0","0.0","132.0","20906","626","1"
"0","8.0","0.0","260.0","334.0","22559","272","1"
"0","1.0","1.0","80.0","99.0","17708","372","1"
"0","5.0","1.0","0.0","7.0","30263","486","1"
"0","5.0","0.0","83.0","531.0","1251","820","1"
"0","17.0","5.0","456.0","475.0","3904","1785","1"
"0","4.0","2.0","51.0","274.0","20583","907","1"
"0","2.0","2.0","46.0","106.0","8512","256","1"
"1","1.0","1.0","47.0","101.0","41040","1815","1"
"0","5.0","2.0","361.0","998.0","4104","229","1"
"0","3.0","1.0","13.0","48.0","22133","1359","1"
"0","5.0","3.0","173.0","190.0","14302","431","1"
"1","8.0","3.0","7.0","8.0","32354","1404","1"
"1","11.0","3.0","9.0","191.0","19623","1696","1"
"0","2.0","0.0","2.0","5.0","5078","906","1"
"0","6.0","1.0","127.0","211.0","6752","89","1"
"0","8.0","2.0","39.0","71.0","24390","33","1"
"0","10.0","0.0","61.0","1000.0","20644","462","1"
"0","1.0","0.0","0.0","1000.0","27178","113","1"
"0","2.0","0.0","4.0","337.0","15871","909","1"
"1","12.0","4.0","86.0","322.0","20498","505","1"
"1","2.0","0.0","704.0","992.0","22943","485","1"
"0","25.0","10.0","916.0","988.0","14889","1065","1"
"0","4.0","2.0","2.0","10.0","26712","152","1"
"0","2.0","1.0","0.0","1000.0","12919","467","1"
"0","7.0","2.0","0.0","0.0","14698","971","1"
"0","1.0","0.0","0.0","1000.0","23374","105","1"
"0","11.0","2.0","0.0","1000.0","13433","1593","1"
"0","6.0","6.0","251.0","285.0","1346","2847","1"
"0","5.0","2.0","0.0","1.0","25282","1497","1"
"0","2.0","0.0","0.0","1.0","27984","221","1"
"0","15.0","4.0","202.0","221.0","7863","51","1"
"0","4.0","2.0","963.0","998.0","27198","594","1"
"0","4.0","0.0","5.0","9.0","20429","901","1"
"0","3.0","3.0","282.0","849.0","8429","761","1"
"0","4.0","5.0","1.0","7.0","40709","2107","1"
"0","8.0","5.0","728.0","834.0","32528","1449","1"
"0","4.0","2.0","8.0","11.0","1239","1165","1"
"0","5.0","1.0","55.0","80.0","10674","2232","1"
"0","3.0","1.0","321.0","323.0","11024","294","1"
"0","12.0","4.0","266.0","998.0","8100","214","1"
"0","3.0","3.0","717.0","993.0","12947","991","1"
"0","6.0","4.0","66.0","73.0","12488","478","1"
"0","2.0","1.0","711.0","998.0","4964","1490","1"
"0","24.0","2.0","53.0","383.0","10631","1381","1"
"0","4.0","3.0","0.0","1.0","26952","1288","1"
"1","2.0","1.0","134.0","850.0","28843","740","1"
"0","3.0","1.0","85.0","132.0","230","852","1"
"1","1.0","0.0","248.0","767.0","10063","959","1"
"0","2.0","0.0","0.0","12.0","30377","699","1"
"0","9.0","3.0","0.0","993.0","10754","870","1"
"0","2.0","0.0","0.0","1000.0","9396","949","1"
"1","6.0","2.0","0.0","1000.0","32345","1508","1"
"0","3.0","1.0","114.0","139.0","11340","1106","1"
"0","8.0","2.0","134.0","261.0","16107","347","1"
"0","5.0","5.0","156.0","256.0","20676","1307","1"
"0","14.0","6.0","86.0","93.0","18985","537","1"
"0","15.0","3.0","205.0","214.0","12657","1405","1"
"0","4.0","2.0","554.0","1000.0","26103","1813","1"
"0","2.0","0.0","240.0","716.0","44475","762","1"
"0","2.0","0.0","237.0","278.0","14305","1401","1"
"0","6.0","0.0","0.0","6.0","13049","509","1"
"0","11.0","5.0","52.0","77.0","43154","947","1"
"0","9.0","5.0","3.0","111.0","9214","1902","1"
"0","6.0","3.0","144.0","165.0","21608","906","1"
"0","19.0","3.0","10.0","197.0","20347","1109","1"
"0","3.0","0.0","117.0","194.0","17717","604","1"
"0","1.0","0.0","52.0","354.0","7498","600","1"
"1","5.0","2.0","133.0","276.0","12948","1532","1"
"0","10.0","3.0","0.0","1000.0","19207","929","1"
"0","4.0","2.0","12.0","81.0","15867","248","1"
"0","5.0","3.0","455.0","558.0","20124","15","1"
"0","2.0","2.0","59.0","86.0","30503","498","1"
"0","2.0","1.0","31.0","150.0","18136","851","1"
"1","3.0","0.0","3.0","371.0","65462","869","1"
"0","2.0","0.0","656.0","817.0","13914","1282","1"
"0","11.0","4.0","0.0","10.0","17931","440","1"
"0","3.0","3.0","0.0","1.0","9441","120","1"
"0","6.0","5.0","337.0","800.0","13836","1732","1"
"0","3.0","1.0","1.0","16.0","12923","1280","1"
"0","3.0","1.0","21.0","23.0","7850","1718","1"
"1","4.0","4.0","0.0","1000.0","19417","214","1"
"0","32.0","7.0","58.0","64.0","19498","959","1"
"0","2.0","0.0","83.0","710.0","17820","666","1"
"0","29.0","7.0","0.0","14.0","25705","615","1"
"1","4.0","0.0","149.0","538.0","5863","600","1"
"0","3.0","3.0","0.0","3.0","8593","1088","1"
"0","21.0","7.0","112.0","116.0","7808","751","1"
"0","3.0","1.0","35.0","445.0","11212","515","1"
"0","0.0","0.0","0.0","2.0","7891","809","1"
"0","11.0","4.0","0.0","2.0","26650","911","1"
"0","2.0","0.0","173.0","265.0","13399","621","1"
"0","4.0","2.0","0.0","1.0","12177","110","1"
"0","5.0","1.0","9.0","32.0","12646","2439","1"
"1","5.0","0.0","0.0","1000.0","34421","411","1"
"0","1.0","0.0","0.0","1.0","18508","1509","1"
"1","1.0","0.0","7.0","15.0","34680","1870","1"
"0","4.0","5.0","0.0","2.0","26155","2185","1"
"0","4.0","1.0","0.0","0.0","30703","576","1"
"0","4.0","1.0","1.0","347.0","7915","44","1"
"0","14.0","0.0","269.0","273.0","37305","293","1"
"1","2.0","1.0","408.0","652.0","8908","2743","1"
"1","3.0","1.0","21.0","73.0","53495","1232","1"
"0","5.0","5.0","1.0","54.0","12569","247","1"
"0","21.0","7.0","56.0","76.0","12539","990","1"
"0","2.0","1.0","318.0","998.0","49437","448","1"
"0","8.0","2.0","134.0","142.0","17285","676","1"
"0","14.0","5.0","95.0","102.0","16177","862","1"
"0","7.0","4.0","134.0","174.0","18935","568","1"
"0","12.0","2.0","43.0","214.0","14397","2498","1"
"0","3.0","4.0","350.0","407.0","13754","1582","1"
"0","3.0","0.0","127.0","135.0","12960","89","1"
"0","3.0","1.0","28.0","34.0","26311","946","1"
"0","4.0","1.0","27.0","72.0","11905","318","1"
"0","6.0","1.0","0.0","1000.0","4892","160","1"
"1","9.0","5.0","0.0","999.0","4182","1062","1"
"0","3.0","0.0","15.0","27.0","18974","1081","1"
"0","9.0","0.0","1.0","17.0","18278","718","1"
"0","28.0","10.0","690.0","735.0","55","1717","1"
"1","2.0","0.0","78.0","360.0","513","422","1"
"0","10.0","5.0","37.0","353.0","11124","137","1"
"0","2.0","0.0","72.0","588.0","30372","645","1"
"0","3.0","2.0","0.0","1000.0","19348","476","1"
"0","4.0","1.0","152.0","398.0","28807","1486","1"
"0","4.0","0.0","0.0","4.0","18206","416","1"
"0","2.0","0.0","77.0","158.0","17665","1291","1"
"0","17.0","8.0","185.0","201.0","17602","862","1"
"0","3.0","3.0","29.0","168.0","2172","764","1"
"0","6.0","0.0","157.0","234.0","25539","1344","1"
"0","2.0","0.0","51.0","973.0","27083","232","1"
"0","31.0","8.0","454.0","1000.0","22212","1962","1"
"0","3.0","0.0","93.0","125.0","5936","205","1"
"1","3.0","1.0","7.0","610.0","35293","231","1"
"0","5.0","1.0","450.0","1000.0","10085","1314","1"
"0","7.0","0.0","0.0","1000.0","9029","791","1"
"0","9.0","7.0","60.0","1000.0","19278","1596","1"
"1","8.0","1.0","81.0","997.0","18731","677","1"
"0","1.0","0.0","13.0","45.0","8982","35","1"
"0","8.0","9.0","0.0","998.0","6012","1093","1"
"0","4.0","2.0","0.0","921.0","13233","2218","1"
"0","3.0","1.0","58.0","60.0","18589","1076","1"
"0","14.0","3.0","58.0","139.0","4602","1571","1"
"0","8.0","2.0","0.0","1000.0","40062","814","1"
"0","5.0","3.0","891.0","999.0","35811","165","1"
"0","2.0","2.0","64.0","107.0","26752","1108","1"
"0","7.0","0.0","56.0","70.0","11286","262","1"
"0","2.0","1.0","60.0","218.0","11807","316","1"
"0","26.0","6.0","0.0","1000.0","28225","537","1"
"0","13.0","1.0","17.0","49.0","19282","103","1"
"0","28.0","6.0","0.0","1000.0","25997","1104","1"
"0","6.0","3.0","0.0","1.0","23481","166","1"
"0","4.0","2.0","537.0","673.0","5403","280","1"
"0","15.0","0.0","162.0","243.0","18153","1277","1"
"0","3.0","3.0","0.0","4.0","7070","443","1"
"1","9.0","3.0","440.0","740.0","63223","884","1"
"0","3.0","1.0","0.0","1000.0","6817","918","1"
"0","3.0","1.0","0.0","1.0","26592","1255","1"
"0","4.0","1.0","0.0","3.0","17729","945","1"
"0","5.0","1.0","223.0","293.0","26459","134","1"
"0","1.0","0.0","25.0","39.0","23711","1926","1"
"0","23.0","4.0","5.0","59.0","30903","1676","1"
"0","3.0","2.0","0.0","1.0","34530","351","1"
"0","3.0","3.0","6.0","34.0","15502","682","1"
"0","8.0","5.0","23.0","27.0","41936","1525","1"
"0","4.0","1.0","15.0","95.0","13814","1338","1"
"0","7.0","1.0","0.0","2.0","15081","1618","1"
"0","7.0","0.0","84.0","494.0","75383","55","1"
"0","3.0","1.0","259.0","333.0","12175","1358","1"
"0","1.0","0.0","5.0","638.0","17913","486","1"
"1","25.0","8.0","38.0","83.0","22097","764","1"
"0","2.0","2.0","884.0","999.0","17908","1277","1"
"0","5.0","0.0","88.0","101.0","32451","1242","1"
"0","3.0","1.0","41.0","116.0","13579","1414","1"
"1","7.0","2.0","158.0","319.0","7375","269","1"
"0","6.0","2.0","129.0","222.0","12888","716","1"
"0","9.0","10.0","968.0","1000.0","4840","998","1"
"0","3.0","2.0","0.0","2.0","30452","537","1"
"0","8.0","2.0","666.0","1000.0","10025","1277","1"
"0","6.0","2.0","2.0","125.0","23815","1000","1"
"0","4.0","3.0","41.0","58.0","8574","1535","1"
"1","13.0","2.0","220.0","1000.0","22380","863","1"
"0","4.0","3.0","488.0","1000.0","6749","814","1"
"0","2.0","1.0","374.0","560.0","15573","1771","1"
"0","8.0","2.0","662.0","812.0","19599","667","1"
"0","3.0","0.0","4.0","4.0","10033","651","1"
"0","5.0","4.0","52.0","129.0","18224","221","1"
"0","14.0","3.0","64.0","82.0","15863","267","1"
"0","2.0","2.0","481.0","547.0","5328","501","1"
"0","15.0","1.0","106.0","177.0","60950","802","1"
"0","8.0","5.0","221.0","455.0","4519","346","1"
"0","24.0","2.0","2.0","6.0","15982","829","1"
"1","3.0","2.0","0.0","1000.0","22479","83","1"
"0","4.0","2.0","0.0","1000.0","24136","967","1"
"0","17.0","3.0","0.0","4.0","13648","1498","1"
"0","3.0","2.0","4.0","4.0","15981","486","1"
"0","7.0","3.0","326.0","577.0","16989","140","1"
"1","6.0","1.0","22.0","251.0","29499","122","1"
"0","1.0","0.0","0.0","1000.0","24170","697","1"
"0","21.0","3.0","168.0","490.0","12038","16","1"
"0","1.0","3.0","810.0","999.0","6215","983","1"
"0","3.0","1.0","142.0","202.0","37797","357","1"
"0","6.0","2.0","336.0","527.0","5894","2852","1"
"0","7.0","1.0","5.0","15.0","9546","924","1"
"0","2.0","0.0","0.0","10.0","14376","809","1"
"0","9.0","4.0","39.0","67.0","41244","785","1"
"1","6.0","0.0","70.0","540.0","22538","1636","1"
"0","10.0","3.0","36.0","37.0","28959","897","1"
"0","2.0","0.0","0.0","14.0","18081","86","1"
"0","2.0","1.0","112.0","322.0","35054","884","1"
"0","4.0","3.0","0.0","0.0","8923","583","0"
"0","3.0","4.0","475.0","475.0","4980","663","0"
"0","11.0","9.0","195.0","465.0","17751","1796","0"
"0","5.0","4.0","0.0","4.0","17254","19","0"
"0","1.0","0.0","0.0","799.0","6898","1293","0"
"0","4.0","4.0","438.0","474.0","25216","1209","0"
"0","2.0","0.0","222.0","264.0","11751","1","0"
"0","2.0","2.0","138.0","172.0","6813","1285","0"
"0","3.0","3.0","1.0","14.0","8008","481","0"
"0","1.0","0.0","0.0","0.0","3923","1955","0"
"0","1.0","1.0","1.0","1.0","17372","820","0"
"1","5.0","2.0","0.0","2.0","21962","1123","0"
"1","2.0","0.0","35.0","637.0","11218","937","0"
"0","2.0","1.0","26.0","544.0","24798","214","0"
"0","3.0","1.0","1.0","7.0","8324","913","0"
"0","5.0","3.0","309.0","408.0","34916","1559","0"
"0","3.0","0.0","452.0","529.0","21954","98","0"
"0","4.0","2.0","0.0","0.0","9200","168","0"
"0","25.0","8.0","676.0","802.0","26882","1932","0"
"0","2.0","2.0","41.0","91.0","12085","62","0"
"0","2.0","0.0","7.0","16.0","13109","749","0"
"1","5.0","0.0","0.0","999.0","26110","1060","0"
"0","9.0","7.0","0.0","2.0","18810","135","0"
"0","3.0","0.0","68.0","440.0","21336","343","0"
"1","7.0","6.0","5.0","12.0","18511","1213","0"
"0","3.0","1.0","381.0","995.0","19616","1055","0"
"0","11.0","9.0","163.0","186.0","1182","1476","0"
"0","4.0","3.0","0.0","0.0","10654","1036","0"
"0","11.0","3.0","288.0","566.0","3395","518","0"
"0","5.0","3.0","5.0","5.0","18978","1064","0"
"0","7.0","4.0","1.0","13.0","23537","1619","0"
"0","2.0","1.0","350.0","416.0","5006","1295","0"
"0","4.0","2.0","162.0","314.0","3904","9","0"
"0","9.0","7.0","0.0","0.0","27562","1123","0"
"0","14.0","3.0","195.0","309.0","9532","388","0"
"0","10.0","4.0","0.0","40.0","18088","720","0"
"0","3.0","2.0","0.0","2.0","19703","235","0"
"0","3.0","1.0","798.0","843.0","4451","404","0"
"0","2.0","1.0","15.0","15.0","9656","76","0"
"0","3.0","0.0","211.0","554.0","42029","1068","0"
"0","2.0","2.0","0.0","6.0","32636","894","0"
"0","4.0","3.0","12.0","77.0","18796","14","0"
"0","2.0","3.0","71.0","125.0","58849","1489","0"
"0","4.0","2.0","66.0","109.0","20837","2280","0"
"0","2.0","0.0","0.0","0.0","6482","1468","0"
"0","2.0","2.0","691.0","733.0","3417","590","0"
"0","18.0","8.0","0.0","995.0","3463","379","0"
"0","5.0","3.0","0.0","1.0","27686","318","0"
"0","6.0","1.0","97.0","100.0","6782","689","0"
"0","6.0","0.0","91.0","301.0","19249","695","0"
"0","4.0","4.0","2.0","2.0","1990","2051","0"
"0","2.0","2.0","8.0","11.0","22586","392","0"
"0","2.0","1.0","33.0","80.0","12219","81","0"
"0","9.0","4.0","154.0","166.0","13619","470","0"
"0","4.0","2.0","1.0","26.0","18180","1510","0"
"0","2.0","3.0","856.0","1000.0","3238","639","0"
"0","2.0","1.0","250.0","306.0","4551","360","0"
"0","6.0","4.0","0.0","0.0","10078","961","0"
"0","5.0","2.0","32.0","36.0","15147","1755","0"
"1","7.0","3.0","31.0","66.0","8809","475","0"
"0","1.0","3.0","0.0","0.0","7441","50","0"
"0","3.0","2.0","348.0","348.0","7265","1077","0"
"1","3.0","2.0","372.0","789.0","3410","452","0"
"0","5.0","6.0","0.0","1.0","5775","0","0"
"1","5.0","9.0","0.0","2.0","20539","261","0"
"0","4.0","0.0","66.0","428.0","3853","487","0"
"0","1.0","0.0","7.0","174.0","12099","756","0"
"0","7.0","2.0","112.0","117.0","9573","1448","0"
"0","2.0","7.0","14.0","16.0","23276","93","0"
"0","3.0","1.0","627.0","776.0","10881","502","0"
"0","3.0","1.0","333.0","357.0","18284","907","0"
"0","2.0","1.0","365.0","382.0","15226","477","0"
"0","4.0","2.0","0.0","996.0","37570","914","0"
"0","10.0","3.0","0.0","0.0","12133","274","0"
"0","5.0","3.0","0.0","5.0","12273","2607","0"
"0","3.0","3.0","0.0","0.0","14206","1374","0"
"0","1.0","0.0","129.0","133.0","8908","137","0"
"0","2.0","1.0","0.0","0.0","27768","281","0"
"0","13.0","4.0","84.0","162.0","12958","734","0"
"0","2.0","1.0","406.0","949.0","13938","976","0"
"1","2.0","0.0","32.0","494.0","17247","866","0"
"0","6.0","0.0","0.0","980.0","14168","1181","0"
"0","8.0","4.0","1.0","6.0","7009","1176","0"
"0","17.0","12.0","968.0","1000.0","25841","739","0"
"1","2.0","1.0","0.0","0.0","16042","1652","0"
"0","2.0","2.0","25.0","58.0","10476","489","0"
"0","4.0","2.0","3.0","4.0","5208","590","0"
"1","6.0","1.0","0.0","1000.0","13842","35","0"
"0","5.0","3.0","0.0","0.0","529","170","0"
"0","1.0","0.0","96.0","105.0","18429","952","0"
"0","5.0","2.0","3.0","5.0","4295","217","0"
"0","2.0","0.0","856.0","1000.0","7858","975","0"
"0","2.0","1.0","243.0","563.0","5389","374","0"
"0","9.0","2.0","122.0","573.0","13862","778","0"
"0","3.0","1.0","229.0","305.0","1038","1435","0"
"0","4.0","3.0","0.0","1.0","20074","659","0"
"0","1.0","0.0","7.0","7.0","22607","1135","0"
"0","4.0","2.0","67.0","69.0","5928","1162","0"
"0","5.0","6.0","0.0","0.0","4717","53","0"
"0","5.0","2.0","298.0","676.0","8089","225","0"
"0","37.0","19.0","28.0","29.0","6068","1195","0"
"0","1.0","0.0","0.0","0.0","6919","418","0"
"0","4.0","2.0","5.0","129.0","1498","633","0"
"0","1.0","0.0","19.0","109.0","6908","126","0"
"1","5.0","4.0","0.0","2.0","9885","655","0"
"0","4.0","0.0","1.0","64.0","22232","64","0"
"0","3.0","2.0","117.0","136.0","33427","1054","0"
"0","12.0","4.0","10.0","62.0","13667","829","0"
"0","2.0","0.0","12.0","176.0","19613","286","0"
"1","4.0","4.0","0.0","9.0","9469","1","0"
"0","6.0","0.0","0.0","0.0","3667","1326","0"
"0","8.0","4.0","1.0","16.0","15239","1740","0"
"0","9.0","1.0","93.0","121.0","10663","690","0"
"0","6.0","1.0","20.0","29.0","6727","385","0"
"0","33.0","9.0","70.0","89.0","15597","456","0"
"0","7.0","1.0","79.0","585.0","20502","1833","0"
"0","4.0","4.0","0.0","0.0","17953","733","0"
"0","1.0","2.0","217.0","563.0","1720","339","0"
"0","5.0","5.0","27.0","73.0","6543","1223","0"
"0","8.0","1.0","166.0","327.0","16267","1116","0"
"0","3.0","2.0","2.0","2.0","17059","997","0"
"0","2.0","0.0","56.0","58.0","6866","1532","0"
"0","6.0","1.0","290.0","395.0","12011","880","0"
"0","2.0","3.0","39.0","71.0","10582","716","0"
"1","2.0","1.0","52.0","58.0","22560","193","0"
"0","3.0","2.0","763.0","971.0","24563","688","0"
"0","9.0","4.0","0.0","1000.0","1125","1497","0"
"0","2.0","2.0","0.0","1.0","23993","285","0"
"0","4.0","3.0","163.0","1000.0","14373","630","0"
"0","5.0","2.0","450.0","643.0","6817","0","0"
"0","7.0","3.0","312.0","651.0","13022","48","0"
"0","2.0","3.0","134.0","196.0","6447","683","0"
"0","5.0","2.0","252.0","444.0","13804","1132","0"
"0","11.0","4.0","11.0","12.0","11651","659","0"
"0","1.0","0.0","89.0","253.0","18483","1237","0"
"0","2.0","2.0","150.0","289.0","15733","1091","0"
"0","5.0","6.0","19.0","35.0","8385","589","0"
"0","3.0","0.0","25.0","201.0","10397","209","0"
"0","9.0","2.0","623.0","811.0","9110","596","0"
"0","4.0","2.0","0.0","48.0","30623","1602","0"
"0","1.0","1.0","0.0","0.0","4866","94","0"
"0","6.0","1.0","325.0","1000.0","10675","1116","0"
"0","3.0","1.0","2.0","2.0","4920","1502","0"
"0","1.0","0.0","66.0","128.0","4391","452","0"
"0","2.0","2.0","690.0","999.0","12114","46","0"
"1","9.0","2.0","0.0","2.0","35071","317","0"
"0","4.0","4.0","0.0","1000.0","7324","59","0"
"0","7.0","2.0","732.0","763.0","19003","1103","0"
"0","4.0","2.0","0.0","0.0","7419","398","0"
"0","8.0","4.0","22.0","22.0","29131","1197","0"
"0","2.0","0.0","14.0","27.0","13058","1509","0"
"0","2.0","0.0","130.0","136.0","7088","1672","0"
"0","2.0","1.0","1.0","1.0","8519","2079","0"
"0","3.0","1.0","0.0","0.0","22243","387","0"
"0","5.0","0.0","0.0","1000.0","10396","308","0"
"0","2.0","2.0","679.0","698.0","13930","2001","0"
"0","11.0","2.0","112.0","117.0","8646","35","0"
"0","13.0","6.0","209.0","224.0","2318","17","0"
"1","3.0","1.0","0.0","2.0","24332","26","0"
"0","10.0","4.0","85.0","91.0","5759","1693","0"
"0","6.0","2.0","0.0","4.0","11472","365","0"
"0","5.0","0.0","489.0","725.0","8753","443","0"
"0","6.0","1.0","805.0","806.0","7260","1847","0"
"0","6.0","5.0","0.0","0.0","20177","176","0"
"0","6.0","2.0","2.0","10.0","31314","1004","0"
"0","3.0","2.0","59.0","106.0","11371","1216","0"
"0","1.0","1.0","0.0","7.0","12718","1496","0"
"0","1.0","0.0","28.0","29.0","4718","191","0"
"0","12.0","4.0","525.0","634.0","23579","391","0"
"0","2.0","0.0","252.0","376.0","16007","128","0"
"0","2.0","1.0","7.0","9.0","5104","925","0"
"0","6.0","1.0","284.0","422.0","12207","1594","0"
"0","10.0","7.0","352.0","449.0","19155","502","0"
"0","4.0","1.0","33.0","999.0","9799","192","0"
"1","3.0","1.0","0.0","1000.0","14377","73","0"
"1","3.0","1.0","0.0","0.0","7697","653","0"
"0","5.0","0.0","0.0","0.0","20890","463","0"
"0","4.0","2.0","28.0","78.0","12337","272","0"
"0","6.0","1.0","27.0","37.0","5753","248","0"
"0","3.0","1.0","65.0","88.0","10574","428","0"
"0","5.0","1.0","213.0","306.0","13432","179","0"
"0","1.0","1.0","98.0","114.0","6020","1272","0"
"0","6.0","3.0","113.0","203.0","7106","1543","0"
"0","13.0","10.0","156.0","161.0","19093","1925","0"
"1","10.0","7.0","0.0","7.0","61915","809","0"
"0","3.0","1.0","915.0","989.0","24112","179","0"
"0","4.0","4.0","40.0","48.0","1384","1229","0"
"0","4.0","2.0","0.0","1000.0","64155","1736","0"
"1","6.0","1.0","0.0","3.0","37176","184","0"
"0","3.0","1.0","4.0","10.0","24865","220","0"
"0","4.0","3.0","0.0","0.0","18271","49","0"
"0","4.0","1.0","1.0","2.0","16934","51","0"
"0","1.0","1.0","29.0","29.0","4151","555","0"
"0","8.0","4.0","149.0","190.0","9132","188","0"
"0","3.0","2.0","88.0","141.0","7846","1379","0"
"0","2.0","2.0","61.0","74.0","8486","1469","0"
"0","3.0","1.0","0.0","0.0","30949","9","0"
"0","11.0","5.0","16.0","34.0","16846","532","0"
"0","6.0","2.0","3.0","87.0","16109","561","0"
"0","2.0","0.0","8.0","52.0","5894","1613","0"
"1","1.0","0.0","247.0","773.0","6261","551","0"
"0","5.0","2.0","0.0","0.0","7050","660","0"
"0","13.0","2.0","338.0","651.0","6731","2175","0"
"0","2.0","0.0","97.0","317.0","13396","321","0"
"0","5.0","4.0","102.0","266.0","16655","2292","0"
"0","1.0","0.0","39.0","52.0","15789","215","0"
"0","5.0","2.0","2.0","12.0","6321","649","0"
"0","7.0","2.0","0.0","999.0","5532","944","0"
"0","4.0","3.0","189.0","546.0","16193","1419","0"
"0","3.0","1.0","379.0","459.0","17817","798","0"
